"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"44";"interro1";"1";"33";"22";"14";"1750";"1536";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"45";"interro1";"1";"33";"22";"14";"1750";"1539";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"46";"interro1";"1";"33";"22";"14";"1750";"1545";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:34";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"47";"interro1";"1";"33";"22";"14";"1750";"1548";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"48";"interro1";"1";"33";"22";"14";"1750";"1557";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"49";"interro1";"1";"33";"22";"14";"1750";"1562";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:36";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"50";"interro1";"1";"33";"22";"14";"1750";"1568";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:37";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"51";"interro1";"1";"33";"22";"14";"1750";"1565";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:23:38";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"52";"interro2";"1";"34";"22";"14";"1750";"1472";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:21:51";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"53";"interro2";"1";"34";"22";"14";"1750";"1501";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:21:52";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"54";"interro2";"1";"34";"22";"14";"1750";"1480";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:21:54";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"55";"interro2";"1";"34";"22";"14";"1750";"1483";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:21:54";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"56";"interro2";"1";"34";"22";"14";"1750";"1486";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:22:34";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"57";"interro2";"1";"34";"22";"14";"1750";"1492";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:22:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"58";"interro2";"1";"34";"22";"14";"1750";"1630";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:22:55";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"59";"interro2";"1";"34";"22";"14";"1750";"1498";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:22:56";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"60";"interro2";"1";"34";"22";"14";"1750";"1507";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:22:58";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"61";"interro2";"1";"34";"22";"14";"1750";"1514";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:22:59";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"62";"interro2";"1";"34";"22";"14";"1750";"1833";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:00";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"63";"interro2";"1";"34";"22";"14";"1750";"1521";"000279";"0";"Excellent";"2020-2021";"1";"2021-01-30 22:37:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"0";"0";\N;\N;\N
"64";"interro2";"1";"34";"22";"14";"1750";"1520";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"65";"interro2";"1";"34";"22";"14";"1750";"1527";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:06";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
