29105;EVALUATION 1;1;1130;1;22;1755;266;279;19;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29106;EVALUATION 2;1;1131;1;22;1755;266;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29107;EVALUATION 3;1;1132;1;22;1755;266;279;19;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;38;0;\N;\N;\N
29108;EVALUATION 4;1;1133;1;22;1755;266;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29109;EVALUATION 5;1;1134;1;22;1755;266;279;6;Tr?s faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;6;0;\N;\N;\N
29110;EVALUATION 6;1;1135;1;22;1755;266;279;10;Passable;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;2;20;0;\N;\N;\N
29111;EVALUATION 1;1;1130;1;22;1755;272;279;20;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29112;EVALUATION 2;1;1131;1;22;1755;272;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29113;EVALUATION 3;1;1132;1;22;1755;272;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;34;0;\N;\N;\N
29114;EVALUATION 4;1;1133;1;22;1755;272;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29115;EVALUATION 5;1;1134;1;22;1755;272;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29116;EVALUATION 6;1;1135;1;22;1755;272;279;11;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;22;0;\N;\N;\N
29117;EVALUATION 1;1;1130;1;22;1755;278;279;19;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29118;EVALUATION 2;1;1131;1;22;1755;278;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29119;EVALUATION 3;1;1132;1;22;1755;278;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;30;0;\N;\N;\N
29120;EVALUATION 4;1;1133;1;22;1755;278;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;17;0;\N;\N;\N
29121;EVALUATION 5;1;1134;1;22;1755;278;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29122;EVALUATION 6;1;1135;1;22;1755;278;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;28;0;\N;\N;\N
29123;EVALUATION 1;1;1130;1;22;1755;1336;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29124;EVALUATION 2;1;1131;1;22;1755;1336;279;20;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29125;EVALUATION 3;1;1132;1;22;1755;1336;279;13,5;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;27;0;\N;\N;\N
29126;EVALUATION 4;1;1133;1;22;1755;1336;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29127;EVALUATION 5;1;1134;1;22;1755;1336;279;4;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;4;0;\N;\N;\N
29128;EVALUATION 6;1;1135;1;22;1755;1336;279;6,5;Tr?s faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;13;0;\N;\N;\N
29129;EVALUATION 1;1;1130;1;22;1755;1306;279;19;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29130;EVALUATION 2;1;1131;1;22;1755;1306;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29131;EVALUATION 3;1;1132;1;22;1755;1306;279;13,5;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;27;0;\N;\N;\N
29132;EVALUATION 4;1;1133;1;22;1755;1306;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29134;EVALUATION 6;1;1135;1;22;1755;1306;279;10;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;20;0;\N;\N;\N
29135;EVALUATION 1;1;1130;1;22;1755;1787;279;18;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29136;EVALUATION 2;1;1131;1;22;1755;1787;279;4;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;4;0;\N;\N;\N
29137;EVALUATION 3;1;1132;1;22;1755;1787;279;11;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;22;0;\N;\N;\N
29138;EVALUATION 4;1;1133;1;22;1755;1787;279;12;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;12;0;\N;\N;\N
29139;EVALUATION 5;1;1134;1;22;1755;1787;279;4;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;4;0;\N;\N;\N
29140;EVALUATION 6;1;1135;1;22;1755;1787;279;2;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;4;0;\N;\N;\N
29141;EVALUATION 1;1;1130;1;22;1755;1330;279;19;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29142;EVALUATION 2;1;1131;1;22;1755;1330;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29143;EVALUATION 3;1;1132;1;22;1755;1330;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;34;0;\N;\N;\N
29144;EVALUATION 4;1;1133;1;22;1755;1330;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29145;EVALUATION 5;1;1134;1;22;1755;1330;279;6;Tr?s faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;6;0;\N;\N;\N
29146;EVALUATION 6;1;1135;1;22;1755;1330;279;12;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;24;0;\N;\N;\N
29147;EVALUATION 1;1;1130;1;22;1755;305;279;20;Excellent;2020-2021;2;01/06/2021 12:34;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29148;EVALUATION 2;1;1131;1;22;1755;305;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29149;EVALUATION 3;1;1132;1;22;1755;305;279;14,5;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;29;0;\N;\N;\N
29150;EVALUATION 4;1;1133;1;22;1755;305;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29151;EVALUATION 5;1;1134;1;22;1755;305;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29152;EVALUATION 6;1;1135;1;22;1755;305;279;9,5;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;19;0;\N;\N;\N
29153;EVALUATION 1;1;1130;1;22;1755;1357;279;15;Bien;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29154;EVALUATION 2;1;1131;1;22;1755;1357;279;6;Tr?s faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;6;0;\N;\N;\N
29155;EVALUATION 3;1;1132;1;22;1755;1357;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;32;0;\N;\N;\N
29156;EVALUATION 4;1;1133;1;22;1755;1357;279;8;Faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;8;0;\N;\N;\N
29157;EVALUATION 5;1;1134;1;22;1755;1357;279;5;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;5;0;\N;\N;\N
29158;EVALUATION 6;1;1135;1;22;1755;1357;279;8;Faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;16;0;\N;\N;\N
29159;EVALUATION 1;1;1130;1;22;1755;319;279;20;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29160;EVALUATION 2;1;1131;1;22;1755;319;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29161;EVALUATION 3;1;1132;1;22;1755;319;279;19;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;38;0;\N;\N;\N
29162;EVALUATION 4;1;1133;1;22;1755;319;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29163;EVALUATION 5;1;1134;1;22;1755;319;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29164;EVALUATION 6;1;1135;1;22;1755;319;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;30;0;\N;\N;\N
29166;EVALUATION 2;1;1131;1;22;1755;323;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29167;EVALUATION 3;1;1132;1;22;1755;323;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;34;0;\N;\N;\N
29168;EVALUATION 4;1;1133;1;22;1755;323;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;17;0;\N;\N;\N
29169;EVALUATION 5;1;1134;1;22;1755;323;279;12;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;12;0;\N;\N;\N
29170;EVALUATION 6;1;1135;1;22;1755;323;279;12;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;24;0;\N;\N;\N
29171;EVALUATION 1;1;1130;1;22;1755;325;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29172;EVALUATION 2;1;1131;1;22;1755;325;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29173;EVALUATION 3;1;1132;1;22;1755;325;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;36;0;\N;\N;\N
29174;EVALUATION 4;1;1133;1;22;1755;325;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29175;EVALUATION 5;1;1134;1;22;1755;325;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;17;0;\N;\N;\N
29176;EVALUATION 6;1;1135;1;22;1755;325;279;9,5;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;19;0;\N;\N;\N
29177;EVALUATION 1;1;1130;1;22;1755;331;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29178;EVALUATION 2;1;1131;1;22;1755;331;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29179;EVALUATION 3;1;1132;1;22;1755;331;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;40;0;\N;\N;\N
29180;EVALUATION 4;1;1133;1;22;1755;331;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29181;EVALUATION 5;1;1134;1;22;1755;331;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29182;EVALUATION 6;1;1135;1;22;1755;331;279;8,5;Insuffisant;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;17;0;\N;\N;\N
29184;EVALUATION 1;1;1130;1;22;1755;1345;279;19;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29185;EVALUATION 2;1;1131;1;22;1755;1345;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29186;EVALUATION 3;1;1132;1;22;1755;1345;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;36;0;\N;\N;\N
29187;EVALUATION 4;1;1133;1;22;1755;1345;279;19;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29188;EVALUATION 5;1;1134;1;22;1755;1345;279;12;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;12;0;\N;\N;\N
29189;EVALUATION 6;1;1135;1;22;1755;1345;279;9;Insuffisant;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;18;0;\N;\N;\N
29190;EVALUATION 2;1;1131;1;22;1755;348;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29191;EVALUATION 3;1;1132;1;22;1755;348;279;19;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;38;0;\N;\N;\N
29192;EVALUATION 4;1;1133;1;22;1755;348;279;15;Bien;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29193;EVALUATION 5;1;1134;1;22;1755;348;279;12;Assez-bien;2020-2021;2;28/05/2021 10:49;SIXIEME;1ER CYCLE;0;0;1;12;0;\N;\N;\N
29194;EVALUATION 1;1;1130;1;22;1755;339;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29195;EVALUATION 2;1;1131;1;22;1755;339;279;8;Faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;8;0;\N;\N;\N
29196;EVALUATION 3;1;1132;1;22;1755;339;279;8;Faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;16;0;\N;\N;\N
29198;EVALUATION 5;1;1134;1;22;1755;339;279;8;Faible;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;8;0;\N;\N;\N
29199;EVALUATION 6;1;1135;1;22;1755;339;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;30;0;\N;\N;\N
29200;EVALUATION 1;1;1130;1;22;1755;1321;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29201;EVALUATION 2;1;1131;1;22;1755;1321;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29202;EVALUATION 3;1;1132;1;22;1755;1321;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;30;0;\N;\N;\N
29204;EVALUATION 5;1;1134;1;22;1755;1321;279;10;Passable;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;10;0;\N;\N;\N
29205;EVALUATION 6;1;1135;1;22;1755;1321;279;4,5;M?diocre;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;9;0;\N;\N;\N
29206;EVALUATION 1;1;1130;1;22;1755;355;279;17;Tr?s Bien;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;17;0;\N;\N;\N
29207;EVALUATION 2;1;1131;1;22;1755;355;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29208;EVALUATION 3;1;1132;1;22;1755;355;279;16,5;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;33;0;\N;\N;\N
29209;EVALUATION 4;1;1133;1;22;1755;355;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29210;EVALUATION 5;1;1134;1;22;1755;355;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29211;EVALUATION 6;1;1135;1;22;1755;355;279;9;Insuffisant;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;18;0;\N;\N;\N
29212;EVALUATION 1;1;1130;1;22;1755;364;279;19;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
29213;EVALUATION 2;1;1131;1;22;1755;364;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29214;EVALUATION 3;1;1132;1;22;1755;364;279;14,5;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;29;0;\N;\N;\N
29215;EVALUATION 1;1;1130;1;22;1755;1324;279;14;Bien;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;14;0;\N;\N;\N
29216;EVALUATION 2;1;1131;1;22;1755;1324;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29217;EVALUATION 3;1;1132;1;22;1755;1324;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;40;0;\N;\N;\N
29218;EVALUATION 4;1;1133;1;22;1755;1324;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29219;EVALUATION 5;1;1134;1;22;1755;1324;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;18;0;\N;\N;\N
29220;EVALUATION 6;1;1135;1;22;1755;1324;279;13;Assez-bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;26;0;\N;\N;\N
29221;EVALUATION 1;1;1130;1;22;1755;1327;279;20;Excellent;2020-2021;2;28/05/2021 10:56;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
